    PID TTY      STAT   TIME COMMAND
   5117 ?        Ss     0:00 /bin/sh -c php /var/www/www-root/data/www/progs.com/artisan schedule:run >> /var/www/www-root/data/www/progs.com/test.log
   5125 ?        S      1:48 php /var/www/www-root/data/www/progs.com/artisan schedule:run
   5161 ?        S      0:00 sh -c '/usr/bin/php8.3' 'artisan' app:tg_parse:specialist > '/var/www/www-root/data/www/progs.com/tg_parse_specialist_5.log' 2>&1
   5162 ?        S      2:53 /usr/bin/php8.3 artisan app:tg_parse:specialist
   5375 ?        Z      0:00 [sh] <defunct>
   5378 ?        Z      0:00 [sh] <defunct>
  46939 ?        Ss     0:00 /bin/sh -c php /var/www/www-root/data/www/progs.com/artisan schedule:run >> /var/www/www-root/data/www/progs.com/test.log
  46949 ?        S      1:13 php /var/www/www-root/data/www/progs.com/artisan schedule:run
  46985 ?        S      0:00 sh -c '/usr/bin/php8.3' 'artisan' app:tg_parse:specialist > '/var/www/www-root/data/www/progs.com/tg_parse_specialist_5.log' 2>&1
  46986 ?        S      1:56 /usr/bin/php8.3 artisan app:tg_parse:specialist
  46989 ?        Z      0:00 [sh] <defunct>
  46996 ?        Z      0:00 [sh] <defunct>
  47020 ?        Z      0:00 [sh] <defunct>
  47027 ?        Z      0:00 [sh] <defunct>
  47049 ?        Z      0:00 [sh] <defunct>
  47051 ?        Z      0:00 [sh] <defunct>
  47077 ?        Z      0:00 [sh] <defunct>
  47079 ?        Z      0:00 [sh] <defunct>
  47108 ?        Z      0:00 [sh] <defunct>
  47111 ?        Z      0:00 [sh] <defunct>
  47129 ?        Ss     0:00 /bin/sh -c php /var/www/www-root/data/www/progs.com/artisan schedule:run >> /var/www/www-root/data/www/progs.com/test.log
  47136 ?        S      1:12 php /var/www/www-root/data/www/progs.com/artisan schedule:run
  47197 ?        S      0:00 sh -c '/usr/bin/php8.3' 'artisan' app:tg_parse:specialist > '/var/www/www-root/data/www/progs.com/tg_parse_specialist.log' 2>&1
  47198 ?        S      1:57 /usr/bin/php8.3 artisan app:tg_parse:specialist
  47201 ?        Z      0:00 [sh] <defunct>
  47203 ?        Z      0:00 [sh] <defunct>
  47205 ?        Z      0:00 [sh] <defunct>
  47207 ?        Z      0:00 [sh] <defunct>
  47228 ?        Z      0:00 [sh] <defunct>
  47230 ?        Z      0:00 [sh] <defunct>
  47232 ?        Z      0:00 [sh] <defunct>
  47234 ?        Z      0:00 [sh] <defunct>
  47260 ?        Z      0:00 [sh] <defunct>
  47267 ?        Z      0:00 [sh] <defunct>
  47269 ?        Z      0:00 [sh] <defunct>
  47271 ?        Z      0:00 [sh] <defunct>
  47291 ?        Z      0:00 [sh] <defunct>
  47293 ?        Z      0:00 [sh] <defunct>
  47299 ?        Z      0:00 [sh] <defunct>
  47303 ?        Z      0:00 [sh] <defunct>
  47327 ?        Z      0:00 [sh] <defunct>
  47329 ?        Z      0:00 [sh] <defunct>
  47331 ?        Z      0:00 [sh] <defunct>
  47333 ?        Z      0:00 [sh] <defunct>
  47346 ?        Ss     0:00 /bin/sh -c php /var/www/www-root/data/www/progs.com/artisan schedule:run >> /var/www/www-root/data/www/progs.com/test.log
  47351 ?        S      1:11 php /var/www/www-root/data/www/progs.com/artisan schedule:run
  47390 ?        S      0:00 sh -c '/usr/bin/php8.3' 'artisan' app:tg_parse:specialist > '/var/www/www-root/data/www/progs.com/tg_parse_specialist_5.log' 2>&1
  47391 ?        S      1:55 /usr/bin/php8.3 artisan app:tg_parse:specialist
  47394 ?        Z      0:00 [sh] <defunct>
  47396 ?        Z      0:00 [sh] <defunct>
  47398 ?        Z      0:00 [sh] <defunct>
  47400 ?        Z      0:00 [sh] <defunct>
  47402 ?        Z      0:00 [sh] <defunct>
  47404 ?        Z      0:00 [sh] <defunct>
  47430 ?        Z      0:00 [sh] <defunct>
  47432 ?        Z      0:00 [sh] <defunct>
  47434 ?        Z      0:00 [sh] <defunct>
  47438 ?        Z      0:00 [sh] <defunct>
  47442 ?        Z      0:00 [sh] <defunct>
  47451 ?        Z      0:00 [sh] <defunct>
  47472 ?        Z      0:00 [sh] <defunct>
  47474 ?        Z      0:00 [sh] <defunct>
  47476 ?        Z      0:00 [sh] <defunct>
  47478 ?        Z      0:00 [sh] <defunct>
  47480 ?        Z      0:00 [sh] <defunct>
  47482 ?        Z      0:00 [sh] <defunct>
  47508 ?        Z      0:00 [sh] <defunct>
  47510 ?        Z      0:00 [sh] <defunct>
  47512 ?        Z      0:00 [sh] <defunct>
  47514 ?        Z      0:00 [sh] <defunct>
  47516 ?        Z      0:00 [sh] <defunct>
  47518 ?        Z      0:00 [sh] <defunct>
  47665 ?        Z      0:00 [sh] <defunct>
  47667 ?        Z      0:00 [sh] <defunct>
  47669 ?        Z      0:00 [sh] <defunct>
  47678 ?        Z      0:00 [sh] <defunct>
  47682 ?        Z      0:00 [sh] <defunct>
  47686 ?        Z      0:00 [sh] <defunct>
  47712 ?        Ss     0:00 /bin/sh -c php /var/www/www-root/data/www/progs.com/artisan schedule:run >> /var/www/www-root/data/www/progs.com/test.log
