Столбец 1,Специализация,Примечание
№,Наименование,Примечания
1,Прораб,
2,Устройство фундаментов,"к нему относятся свайные работы тоже, 
монолитные плиты"
3,Монолитные работы \ бетонные работы,"фундамент, армирование, опалубка"
4,Свайные фундаменты,
5,Монтаж металлоконструкций,"ЛСТК, сварочные работы"
6,Кровельные работы,"🔹 монтаж фальцевой кровли
🔹 монтаж клик-фальца
🔹 наплавляемая кровля
🔹 ремонт и обслуживание кровель
🔹 примыкания, ендовы и сложные кровельные узлы"
7,Фасадные работы,
8,Остекление,
9,Крановые работы \ стропальщики,
10,Благоустройство + дорожные работы,"Асфальтирование участков, парковок, дорог
✅ Укладка тротуарной плитки (все виды)
✅ Монтаж бордюров, поребриков
✅ Дорожные работы любой сложности"
11,Земляные работы,
12,"Дренажные работы, устройство скважин, септиков",
13,Вывоз мусора,
14,Отделочные работы,"К ним относятся группы:
Монтаж ГКЛ и карксных перегородок
Штукатурные работы
Малярные работы
Укладка плитки
Монтаж потолков"
15,Электромонтажные работы,"протяжка кабеля 
Установка оконечного оборудования
умный дом, 
электроотопление"
16,"Отопление, вентиляция и кондиционирование (работы)",
17,Сантехнические работы,
18,Слаботочные работы,"сети связи, видеонаблюдение"
19,Сварочные работы,
20,Монтажные работы,к монтажным работам можно отнести все кладочные и монтаж ГКЛ
21,Кладочные работы,Каменщик
22,Монтаж ГКЛ и карксных перегородок,
23,Штукатурные работы,
24,Малярные работы,"Шпаклевка, шпатлевание, оклейка обоями, окраска, покраска"
25,Укладка плитки,
26,Монтаж потолков,"Монтаж Амстронга, монтаж грильято"
27,Монтаж стеклянных конструкций,
28,Слесарные \ плотницкие работы,
29,Демонтажные работы,
30,Альпинисты,
31,Разнорабочие \ подсобные \ фасовка,"в т.ч. прогрузка, разгрузка, Фасовка, сортировка, упаковка"
32,Уборка\уборщики,
33,Аренда техники и оборудования,"Манипулятор со стрелой
Ямобур-вездехож
экскаватор
и т.д.
Машинист"
34,Поставка материалов,"Доставка бетона от производителя
цемент"
35,Услуги по предоставлению персонала,
,,
,,
,,
,,
,,
,Проектные работы,"тут вопрос - по идее в этом разделе не должны висеть проектировщики, а должны попадать в раздел проектировщиков )"
